"","y","z"
"1",3.35687872863393,1
"2",0,1
"3",0,1
"4",0,1
"5",3.16748199526238,1
"6",4.74900216764608,1
"7",5.36907893146458,1
"8",0,1
"9",5.11641808799123,1
"10",3.16389282054534,1
"11",0,1
"12",3.16933192751193,1
"13",4.71483750856289,1
"14",0,1
"15",0,1
"16",0,1
"17",5.40448787028568,1
"18",0,1
"19",0,1
"20",0,1
"21",0,1
"22",4.76039721277654,1
"23",0,1
"24",0,1
"25",0,1
"26",5.04732065091667,1
"27",5.01609145336008,1
"28",0,1
"29",0,1
"30",3.25993837815118,1
"31",0,1
"32",3.15142520676689,1
"33",0,1
"34",0,1
"35",4.55549259076593,1
"36",5.12749310799901,1
"37",4.75617970369525,1
"38",0,1
"39",0,1
"40",0,1
"41",0,1
"42",0,1
"43",5.15735608207406,1
"44",0,1
"45",0,1
"46",5.16926331952672,1
"47",0,1
"48",0,1
"49",0,1
"50",0,1
"51",0,1
"52",0,1
"53",0,1
"54",0,1
"55",3.72061364383992,1
"56",4.51035889710865,1
"57",0,1
"58",0,1
"59",0,1
"60",3.36161151675106,1
"61",0,1
"62",0,1
"63",5.56496626742681,1
"64",0,1
"65",0,1
"66",0,1
"67",5.37602435055623,1
"68",0,1
"69",0,1
"70",0,1
"71",0,1
"72",5.08010510197821,1
"73",0,1
"74",5.11021296597411,1
"75",0,1
"76",0,1
"77",0,1
"78",0,1
"79",0,1
"80",4.87941032016379,1
"81",5.24831237212044,1
"82",5.35965058160272,1
"83",4.37053959204469,1
"84",4.94748327467276,1
"85",0,1
"86",5.13267209543678,1
"87",0,1
"88",0,1
"89",0,1
"90",4.2417066502286,1
"91",4.96047249605063,1
"92",0,1
"93",2.99521769506832,1
"94",0,1
"95",0,1
"96",0,1
"97",0,1
"98",0,1
"99",0,1
"100",2.75516803916508,1
"101",0,1
"102",0,1
"103",5.18374057419229,1
"104",0,1
"105",4.56510793565623,1
"106",0,1
"107",0,1
"108",3.45049974616277,1
"109",0,1
"110",0,1
"111",0,1
"112",2.48380904841274,1
"113",0,1
"114",0,1
"115",4.80981272176852,1
"116",0,1
"117",0,1
"118",0,1
"119",0,1
"120",0,1
"121",3.01985100486445,1
"122",0,1
"123",0,1
"124",0,1
"125",0,1
"126",4.85204786039105,1
"127",0,1
"128",0,1
"129",0,1
"130",2.80911750845561,1
"131",0,1
"132",4.84439796173934,1
"133",4.85561556819054,1
"134",0,1
"135",5.28362210477821,1
"136",0,1
"137",0,1
"138",0,1
"139",0,1
"140",0,1
"141",3.29524766603382,1
"142",0,1
"143",2.67599197064052,1
"144",4.67139620926515,1
"145",0,1
"146",4.93712394698417,1
"147",0,1
"148",0,1
"149",0,1
"150",3.29242537459976,1
"151",3.30221924202447,1
"152",3.2595362629801,1
"153",2.86339073563906,1
"154",3.04790469266384,1
"155",0,1
"156",0,1
"157",2.9902667432217,1
"158",0,1
"159",0,1
"160",0,1
"161",0,1
"162",4.95266773975861,1
"163",0,1
"164",0,1
"165",4.92627826525934,1
"166",0,1
"167",0,1
"168",0,1
"169",0,1
"170",0,1
"171",0,1
"172",4.68831434810981,1
"173",2.92567041036944,1
"174",0,1
"175",0,1
"176",0,1
"177",0,1
"178",0,1
"179",0,1
"180",0,1
"181",0,1
"182",0,1
"183",0,1
"184",3.50590321264548,1
"185",4.57592128105422,1
"186",4.88368239800615,1
"187",3.29395245232066,1
"188",5.17055457915145,1
"189",0,1
"190",0,1
"191",0,1
"192",0,1
"193",0,1
"194",3.08928524704525,1
"195",0,1
"196",0,1
"197",0,1
"198",0,1
"199",0,1
"200",0,1
"201",0,1
"202",0,1
"203",0,1
"204",0,1
"205",4.9872786450147,1
"206",0,1
"207",0,1
"208",5.13624076198906,1
"209",3.53304571002637,1
"210",0,1
"211",0,1
"212",0,1
"213",3.43378960684098,1
"214",0,1
"215",0,1
"216",0,1
"217",0,1
"218",0,1
"219",0,1
"220",0,1
"221",0,1
"222",2.70212727256742,1
"223",0,1
"224",0,1
"225",0,1
"226",0,1
"227",0,1
"228",5.6908154190321,1
"229",0,1
"230",4.40180213168596,1
"231",4.94853512598545,1
"232",0,1
"233",0,1
"234",5.10329605666896,1
"235",0,1
"236",0,1
"237",0,1
"238",0,1
"239",4.9315203467439,1
"240",0,1
"241",0,1
"242",0,1
"243",0,1
"244",2.66529852085991,1
"245",5.34066268991563,1
"246",0,1
"247",0,1
"248",0,1
"249",5.3160055527059,1
"250",4.25681121334184,1
"251",5.36940209511338,1
"252",2.73334213398047,1
"253",0,1
"254",0,1
"255",3.07036680300457,1
"256",0,1
"257",0,1
"258",0,1
"259",0,1
"260",0,1
"261",0,1
"262",0,1
"263",0,1
"264",0,1
"265",0,1
"266",0,1
"267",4.92945783080823,1
"268",0,1
"269",0,1
"270",3.09204291946561,1
"271",0,1
"272",0,1
"273",0,1
"274",0,1
"275",0,1
"276",0,1
"277",0,1
"278",5.14861520807236,1
"279",2.72005848990706,1
"280",0,1
"281",0,1
"282",2.76840475750083,1
"283",0,1
"284",0,1
"285",0,1
"286",5.15901728476452,1
"287",5.08529652396688,1
"288",0,1
"289",0,1
"290",4.73549936073157,1
"291",0,1
"292",0,1
"293",0,1
"294",0,1
"295",3.15622749131329,1
"296",0,1
"297",0,1
"298",0,1
"299",0,1
"300",2.95305345964979,1
"301",5.15012908317554,1
"302",2.68632896853531,1
"303",0,1
"304",2.72419120690784,1
"305",0,1
"306",5.15821348627732,1
"307",5.39882274997608,1
"308",0,1
"309",0,1
"310",0,1
"311",0,1
"312",0,1
"313",0,1
"314",5.21445537760265,1
"315",0,1
"316",3.12205974819559,1
"317",0,1
"318",0,1
"319",3.00795189253095,1
"320",0,1
"321",0,1
"322",0,1
"323",0,1
"324",0,1
"325",0,1
"326",0,1
"327",2.50918053120387,1
"328",0,1
"329",0,1
"330",0,1
"331",0,1
"332",0,1
"333",0,1
"334",3.18610767419255,1
"335",4.96030098539695,1
"336",0,1
"337",0,1
"338",0,1
"339",3.04352572897466,1
"340",0,1
"341",0,1
"342",0,1
"343",0,1
"344",0,1
"345",0,1
"346",0,1
"347",0,1
"348",0,1
"349",0,1
"350",0,1
"351",4.79010867981934,1
"352",0,1
"353",0,1
"354",3.25285415647073,1
"355",0,1
"356",0,1
"357",3.40109732489781,1
"358",3.36067842122811,1
"359",0,1
"360",0,1
"361",0,1
"362",0,1
"363",0,1
"364",5.2131412895981,1
"365",4.77365294403112,1
"366",0,1
"367",0,1
"368",3.0414886290448,1
"369",4.72221215458338,1
"370",0,1
"371",3.09274310466501,1
"372",5.18567998475226,1
"373",5.25145746962361,1
"374",0,1
"375",0,1
"376",4.91851544962484,1
"377",0,1
"378",0,1
"379",0,1
"380",0,1
"381",0,1
"382",3.00762362645988,1
"383",0,1
"384",3.18141825689002,1
"385",4.89002248131398,1
"386",0,1
"387",0,1
"388",0,1
"389",5.04474606984258,1
"390",2.94165854673849,1
"391",0,1
"392",0,1
"393",0,1
"394",2.27196983366596,1
"395",0,1
"396",5.37324873820584,1
"397",0,1
"398",5.14005829613352,1
"399",0,1
"400",0,1
"401",5.55342558646267,1
"402",4.71858909360613,1
"403",2.68052392976934,1
"404",4.9841535596966,1
"405",4.83853900293678,1
"406",0,1
"407",0,1
"408",0,1
"409",0,1
"410",0,1
"411",5.25662929620622,1
"412",0,1
"413",0,1
"414",3.25613860061083,1
"415",0,1
"416",5.07305778264026,1
"417",3.11388239834238,1
"418",0,1
"419",0,1
"420",0,1
"421",0,1
"422",5.05574370266449,1
"423",0,1
"424",0,1
"425",0,1
"426",0,1
"427",0,1
"428",4.94262301175531,1
"429",0,1
"430",0,1
"431",0,1
"432",2.90998291797459,1
"433",0,1
"434",0,1
"435",0,1
"436",0,1
"437",0,1
"438",0,1
"439",0,1
"440",0,1
"441",4.90733916450227,1
"442",0,1
"443",0,1
"444",3.07479242451193,1
"445",4.59763764096363,1
"446",0,1
"447",0,1
"448",0,1
"449",0,1
"450",0,1
"451",0,1
"452",0,1
"453",0,1
"454",0,1
"455",0,1
"456",0,1
"457",0,1
"458",0,1
"459",4.89876718781795,1
"460",0,1
"461",5.01203658939018,1
"462",0,1
"463",3.0456118797193,1
"464",0,1
"465",4.60736842767553,1
"466",0,1
"467",4.70383016882991,1
"468",0,1
"469",0,1
"470",2.64556464909252,1
"471",0,1
"472",2.66958067443752,1
"473",0,1
"474",0,1
"475",0,1
"476",4.77100181294741,1
"477",0,1
"478",2.98247544898172,1
"479",0,1
"480",2.80545231126176,1
"481",0,1
"482",0,1
"483",0,1
"484",0,1
"485",4.71118357226989,1
"486",0,1
"487",0,1
"488",5.39698040930663,1
"489",0,1
"490",0,1
"491",0,1
"492",0,1
"493",0,1
"494",0,1
"495",0,1
"496",4.77844848898913,1
"497",5.23546976364852,1
"498",0,1
"499",0,1
"500",0,1
"501",0,1
"502",0,1
"503",0,1
"504",0,1
"505",0,1
"506",5.42147216825535,1
"507",5.07545266064009,1
"508",0,1
"509",0,1
"510",4.43231378125061,1
"511",4.69242054831603,1
"512",0,1
"513",0,1
"514",3.0237332378827,1
"515",0,1
"516",0,1
"517",0,1
"518",4.94744506836105,1
"519",0,1
"520",0,1
"521",5.20022693864678,1
"522",0,1
"523",5.43841466356846,1
"524",3.61619645471127,1
"525",5.23336620022234,1
"526",3.45521545916637,1
"527",0,1
"528",4.73878443762355,1
"529",4.82910388718734,1
"530",0,1
"531",3.34904188695695,1
"532",0,1
"533",3.07655399786689,1
"534",0,1
"535",4.65089643615401,1
"536",0,1
"537",0,1
"538",0,1
"539",3.1109109091518,1
"540",0,1
"541",4.69532849575793,1
"542",0,1
